id,total,total_possession,total_distribution,incidents_this_week,possession_this_week,distribution_this_week,incidents_last_week,possession_last_week,distribution_last_week,incidents_this_month,possession_this_month,distribution_this_month,incidents_last_month,incidents_last_month,distribution_last_month,cocaine_possession,cocaine_distribution,heroin_possession,heroin_distribution,class_c_possession,class_c_distribution,class_d_possession,class_d_distribution,class_e_possession,count
465,24,8,8,0,0,0,0,0,0,1,0,1,0,0,0,4,4,0,3,0,0,2,1,1,0
509,23,6,15,0,0,0,0,0,0,0,0,0,2,0,1,3,3,1,6,0,0,2,2,0,1
535,23,10,10,0,0,0,2,2,0,2,2,0,0,0,0,4,2,3,6,2,0,0,1,1,0
673,23,9,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,0,1,2,0
489,23,13,9,0,0,0,0,0,0,1,1,0,0,0,0,4,0,5,5,0,0,1,1,3,0
620,23,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0
551,23,9,8,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,1,0,4,0,0,0
610,22,9,8,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,0,0,1,1,1
492,22,10,8,0,0,0,0,0,0,3,2,1,2,0,2,3,3,4,1,0,1,3,0,0,0
462,22,8,13,0,0,0,0,0,0,0,0,0,3,2,1,5,3,1,0,0,0,2,4,0,1
584,22,13,6,0,0,0,0,0,0,1,0,1,0,0,0,6,1,2,1,0,0,4,1,1,0
685,21,9,3,0,0,0,0,0,0,1,0,1,3,1,2,3,1,3,0,1,0,1,0,1,1
625,21,12,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,1,0
526,21,7,11,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,3,0,0,2,1,0,0
471,21,9,2,0,0,0,0,0,0,0,0,0,4,2,2,2,1,2,1,1,0,3,0,1,0
675,20,9,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,0,1,2,0,0
514,20,11,7,0,0,0,0,0,0,1,1,0,0,0,0,3,2,4,0,1,1,2,0,0,0
678,20,11,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,2,3,1
425,20,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,4,1,0,0
282,20,8,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,0,0,1,1,0,0
810,20,8,9,0,0,0,0,0,0,2,1,0,1,0,0,2,3,3,2,0,0,3,1,0,0
209,20,5,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,0,0,1,1,0,0
609,19,10,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,5,4,0,0
528,19,5,12,0,0,0,0,0,0,2,0,2,0,0,0,3,8,1,2,1,0,0,0,0,1
585,19,8,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,1,0,0,1,1,0
122,19,15,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,12,3,0,0
662,19,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,4,1,0,0
484,19,11,6,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,1,0,0,1,1,0,0
428,19,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,2,2,1,0
439,19,6,12,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,0,0,2,2,1,0
588,19,8,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,0,0,1,1,0,0
679,18,5,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,1,1,0,1
809,18,8,9,0,0,0,0,0,0,3,1,2,0,0,0,4,4,1,4,0,0,2,0,0,0
617,18,9,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,4,3,1,0
511,18,8,8,0,0,0,0,0,0,0,0,0,3,3,0,5,3,1,2,0,0,2,0,0,0
518,18,7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,1,0,2,0
674,18,8,3,0,0,0,1,0,0,1,0,0,0,0,0,2,1,4,2,0,0,1,0,1,0
445,17,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,1,1,1,0,0
560,17,11,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,2,1,1,0
703,17,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,1,0,1
472,17,5,11,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,1,3,0,0
424,17,8,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,1,1,1,1,0
704,17,10,3,0,0,0,0,0,0,2,2,0,0,0,0,3,1,2,0,2,0,2,2,1,0
503,17,7,10,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0,4,4,0,0
380,17,11,3,0,0,0,0,0,0,0,0,0,2,2,0,3,0,4,1,1,0,1,0,2,0
446,17,6,9,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,2,1,0,0
531,17,10,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,2,0,0,0
458,17,8,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,1,2,0,0
583,17,11,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,1,0,1,2,0,0
797,16,7,8,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,1,1,0,1,0,0
510,16,5,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,1,1,0,0
460,16,7,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0,0,3,0,1,0
553,16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,3,0,0
615,16,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,0,1,0,0,0
467,16,11,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,2,4,1,0
669,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,1,1,0
795,15,6,5,0,0,0,1,1,0,1,1,0,0,0,0,2,1,0,2,0,0,3,0,1,0
237,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,1,0,2,0
534,15,6,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0
487,15,7,8,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,2,0,0,3,1,0,0
586,15,5,4,0,0,0,1,0,0,1,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0
612,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,0,0,1,0,0
632,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,2,0
308,15,9,4,0,0,0,0,0,0,2,2,0,0,0,0,3,1,2,1,0,0,3,0,0,0
469,15,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,2,1,0,0
429,15,5,8,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,2,1,0,2,3,0,0
183,14,4,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,1,0,1,0,0
628,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,0
262,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0
762,14,8,5,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,3,2,0,1,1,4,0
508,14,5,8,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,4,2,0,0
124,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,4,0,1,0
